timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2026-06-12 10:15:00,2026-06-12 07:15:00,2026-06-12 15:15:00,1.64612,1.64632,1.64556,1.64595,3575.0
2026-06-12 10:30:00,2026-06-12 07:30:00,2026-06-12 15:30:00,1.64591,1.64624,1.64524,1.64529,3662.0
2026-06-12 10:45:00,2026-06-12 07:45:00,2026-06-12 15:45:00,1.6453,1.64566,1.6443,1.64485,3883.0
2026-06-12 11:00:00,2026-06-12 08:00:00,2026-06-12 16:00:00,1.64482,1.64523,1.64446,1.64473,4610.0
2026-06-12 11:15:00,2026-06-12 08:15:00,2026-06-12 16:15:00,1.64472,1.64494,1.64328,1.64443,5278.0
2026-06-12 11:30:00,2026-06-12 08:30:00,2026-06-12 16:30:00,1.64444,1.64462,1.6439,1.6444,4767.0
2026-06-12 11:45:00,2026-06-12 08:45:00,2026-06-12 16:45:00,1.64439,1.64465,1.64353,1.64419,3514.0
2026-06-12 12:00:00,2026-06-12 09:00:00,2026-06-12 17:00:00,1.64418,1.64434,1.64351,1.64373,3616.0
2026-06-12 12:15:00,2026-06-12 09:15:00,2026-06-12 17:15:00,1.64374,1.64381,1.64252,1.64326,4775.0
2026-06-12 12:30:00,2026-06-12 09:30:00,2026-06-12 17:30:00,1.64327,1.64408,1.64305,1.64397,4003.0
2026-06-12 12:45:00,2026-06-12 09:45:00,2026-06-12 17:45:00,1.64402,1.6443,1.64385,1.64412,3375.0
2026-06-12 13:00:00,2026-06-12 10:00:00,2026-06-12 18:00:00,1.64413,1.64434,1.64307,1.64381,3242.0
2026-06-12 13:15:00,2026-06-12 10:15:00,2026-06-12 18:15:00,1.64381,1.64463,1.64362,1.64389,4423.0
2026-06-12 13:30:00,2026-06-12 10:30:00,2026-06-12 18:30:00,1.6439,1.64399,1.64315,1.64338,4231.0
2026-06-12 13:45:00,2026-06-12 10:45:00,2026-06-12 18:45:00,1.64339,1.64363,1.64302,1.6433,3681.0
2026-06-12 14:00:00,2026-06-12 11:00:00,2026-06-12 19:00:00,1.64325,1.64447,1.64317,1.64439,4029.0
2026-06-12 14:15:00,2026-06-12 11:15:00,2026-06-12 19:15:00,1.6444,1.64444,1.64378,1.6441,3885.0
2026-06-12 14:30:00,2026-06-12 11:30:00,2026-06-12 19:30:00,1.64411,1.64417,1.64372,1.64375,3341.0
2026-06-12 14:45:00,2026-06-12 11:45:00,2026-06-12 19:45:00,1.64374,1.64408,1.64328,1.64381,3493.0
2026-06-12 15:00:00,2026-06-12 12:00:00,2026-06-12 20:00:00,1.64382,1.6443,1.64353,1.64374,3870.0
2026-06-12 15:15:00,2026-06-12 12:15:00,2026-06-12 20:15:00,1.64372,1.64413,1.64364,1.64394,3456.0
2026-06-12 15:30:00,2026-06-12 12:30:00,2026-06-12 20:30:00,1.64393,1.64399,1.64339,1.64357,3625.0
2026-06-12 15:45:00,2026-06-12 12:45:00,2026-06-12 20:45:00,1.64354,1.64389,1.64313,1.64362,3701.0
2026-06-12 16:00:00,2026-06-12 13:00:00,2026-06-12 21:00:00,1.6436,1.64378,1.64287,1.64289,3939.0
2026-06-12 16:15:00,2026-06-12 13:15:00,2026-06-12 21:15:00,1.6429,1.64317,1.64243,1.64299,4198.0
2026-06-12 16:30:00,2026-06-12 13:30:00,2026-06-12 21:30:00,1.64294,1.64464,1.64264,1.64462,5693.0
2026-06-12 16:45:00,2026-06-12 13:45:00,2026-06-12 21:45:00,1.64457,1.64502,1.64384,1.64391,5529.0
2026-06-12 17:00:00,2026-06-12 14:00:00,2026-06-12 22:00:00,1.64381,1.644,1.64273,1.64317,5244.0
2026-06-12 17:15:00,2026-06-12 14:15:00,2026-06-12 22:15:00,1.64318,1.64366,1.64285,1.64319,4856.0
2026-06-12 17:30:00,2026-06-12 14:30:00,2026-06-12 22:30:00,1.64316,1.64375,1.64236,1.64375,4785.0
2026-06-12 17:45:00,2026-06-12 14:45:00,2026-06-12 22:45:00,1.64373,1.64413,1.64114,1.64119,5563.0
2026-06-12 18:00:00,2026-06-12 15:00:00,2026-06-12 23:00:00,1.64115,1.64221,1.64097,1.64137,5289.0
2026-06-12 18:15:00,2026-06-12 15:15:00,2026-06-12 23:15:00,1.64136,1.64192,1.64061,1.64105,4809.0
2026-06-12 18:30:00,2026-06-12 15:30:00,2026-06-12 23:30:00,1.64103,1.64234,1.64082,1.64229,5441.0
2026-06-12 18:45:00,2026-06-12 15:45:00,2026-06-12 23:45:00,1.64227,1.64262,1.64187,1.64243,4856.0
2026-06-12 19:00:00,2026-06-12 16:00:00,2026-06-13 00:00:00,1.64246,1.64283,1.6414,1.64201,5076.0
